Ándale	90% igual que Orale. 
Ajuaa/Yahuuaa	grito extremadamente Mexicano que implica alegría. 
Híjole	es mas bien como de tristesa, cuando echas a perder algo. 
Wey	persona, normalmente usado en saludos (ej	Que hay wey?). 
Chingado	estropeado (jodido para los españoles). 
Fregado	estropeado, molestar. 
Chido	lindo, bonito. 
Lana	dinero. 
Gacho	feo. 
Neta	verdad. 
Bronca	problema. 
Pex/Pez	problema, bronca 
"No hay Pex"	No hay problema (es como mas se usa esta palabra). 
"Que Pex?"	qué hay? que haces? 
Tambien referido a buscar bronca/problemas con alguien. Probocar. 
"A poco"	"en serio". 
Chance	tal vez, quizás. Oportunidad. 
"De perdida"	"de menos", por lo menos. 
Jalada	chiste malo o de mal gusto 
"No mames"	no digas/hagas tonterias (hombre... también puede ser no me la chupes...) 
Naco	ignorante, pobre, mal educado. 
Latir	gustar. 
Choro	parrafada, gran charla. 
Puñal	*********, afeminado. 
Cuate	amigo. 
Gringo	persona estadounidense. 
Madrazo	guantazo en la Boca, como el que dan las madres a los hijos. 
Metiche	mezuca, cotilla, "metomentodo". 
Ton	llevarte en carro/coche. 
Carro	coche. 
Hueva	pereza, flojera. 
"Darte hueva"	te aburre no te apetece
